User_ID,Age,Gender,Occupation,Relationship_Status,Primary_Platform,Daily_Usage_Hours,Platforms_Used_Count,Posts_Per_Week,Late_Night_Usage,First_Check_Morning,Notifications_Per_Day,FOMO_Score,Social_Comparison_Score,Validation_Seeking_Score,Scroll_Without_Purpose,Tried_To_Cut_Back,Failed_To_Cut_Back,Anxiety_Score,Depression_Score,Loneliness_Score,Self_Esteem_Score,Sleep_Quality_Score,Sleep_Hours,Productivity_Loss_Score,Offline_Relationship_Quality,Physical_Activity_Hrs_Week,Screen_Free_Time_Hrs,Mental_Wellbeing_Score,Addiction_Level
USR00001,30,Male,Working Professional,In a Relationship,YouTube,2.9,4,3,No,Within 5 min,62,4.9,7.4,2.1,10.0,No,No,2.5,3.8,1.7,6.5,8.5,5.3,3.7,3.8,5.8,3.1,7.3,Low
USR00002,19,Male,Student,Married,Instagram,4.8,1,0,,Within 5 min,111,4.2,5.4,7.2,9.0,Yes,Yes,4.0,3.2,7.0,7.5,7.8,5.5,4.0,1.8,0.9,3.3,4.1,Severe
USR00003,40,Male,Student,In a Relationship,YouTube,,4,5,No,Within 5 min,122,2.7,,5.9,6.1,No,Yes,7.6,0.0,5.6,5.3,6.3,,5.8,2.8,0.0,1.5,5.6,High
USR00004,37,Female,Student,Married,Facebook,7.7,2,3,Yes,Within 5 min,48,3.9,8.3,4.9,4.1,,No,3.3,3.5,5.6,1.4,3.9,6.1,5.5,3.6,1.0,3.9,4.3,Severe
USR00005,18,Non-binary,Student,In a Relationship,TikTok,4.6,3,0,No,5-30 min,58,6.0,8.6,2.8,7.3,Yes,,6.5,0.0,4.0,,5.7,5.0,3.8,3.2,0.6,1.0,6.6,Moderate
USR00006,34,Male,Working Professional,Married,YouTube,1.2,1,3,No,5-30 min,37,5.5,5.1,7.1,6.0,Yes,Yes,5.2,5.3,5.0,7.9,,5.6,2.8,5.6,4.1,1.5,7.7,Low
USR00007,38,Female,Student,In a Relationship,Facebook,5.0,4,4,Yes,Within 5 min,24,4.0,4.8,6.0,2.6,No,Yes,5.3,3.8,7.2,0.5,4.8,8.2,6.8,5.4,3.2,3.7,5.5,High
USR00008,22,Female,Unemployed,Single,Twitter/X,3.4,5,2,No,Within 5 min,64,6.5,7.5,4.0,4.0,Yes,No,3.4,6.1,3.1,2.9,3.8,10.0,6.8,6.7,,6.6,6.2,Moderate
USR00009,43,Female,Student,Single,YouTube,9.2,4,2,No,5-30 min,115,6.5,8.2,4.4,8.5,No,Yes,3.9,2.8,3.8,5.1,3.2,5.7,3.2,5.4,4.8,0.6,3.4,Severe
USR00010,40,Male,Student,Single,Instagram,6.9,2,5,Yes,After 30 min,62,0.9,6.9,3.8,7.8,No,No,3.7,2.5,3.9,8.1,7.4,5.8,6.4,7.2,4.6,0.0,7.7,Low
USR00011,29,Male,Freelancer,Single,Instagram,2.8,1,3,Yes,After 30 min,119,5.3,4.5,6.3,2.2,Yes,No,6.8,4.5,8.1,0.2,8.1,6.0,6.6,7.0,1.0,2.6,7.0,Low
USR00012,38,Female,Working Professional,Single,TikTok,6.0,2,4,Yes,5-30 min,76,6.0,2.4,7.1,4.8,No,Yes,5.0,5.5,4.9,7.9,2.3,7.3,6.2,7.5,3.1,6.9,5.7,High
USR00013,23,Female,Working Professional,,YouTube,5.5,3,8,No,5-30 min,26,2.3,5.6,6.2,8.0,No,No,6.2,,2.6,3.5,4.7,6.0,7.7,5.6,2.0,0.3,7.1,Moderate
USR00014,40,Male,Working Professional,In a Relationship,Instagram,3.7,3,1,Yes,Within 5 min,14,6.8,2.5,3.0,4.9,Yes,No,5.6,7.8,5.0,2.8,5.2,7.4,6.4,4.2,0.3,3.0,5.1,High
USR00015,29,Male,Working Professional,In a Relationship,Instagram,3.8,1,3,,After 30 min,79,6.1,9.3,1.7,5.7,Yes,No,3.4,6.1,4.4,6.3,7.0,6.4,4.0,5.5,6.1,1.5,9.2,Low
USR00016,25,Male,Student,Married,Snapchat,3.9,5,1,No,Within 5 min,91,8.4,2.7,8.2,8.9,No,No,4.3,6.5,2.5,,5.7,,10.0,0.3,5.8,1.6,4.7,Severe
USR00017,41,Non-binary,Unemployed,Married,,2.4,2,2,No,5-30 min,78,7.7,3.7,6.0,5.6,Yes,Yes,10.0,0.4,3.7,6.2,5.4,5.3,4.8,7.7,6.0,0.7,6.6,Moderate
USR00018,23,Female,Freelancer,In a Relationship,YouTube,5.1,2,4,Yes,Within 5 min,36,5.5,6.7,5.4,6.8,No,No,7.9,9.7,,2.6,3.4,7.7,3.2,5.5,5.3,7.1,6.0,High
USR00019,22,Non-binary,Working Professional,In a Relationship,Twitter/X,3.4,1,4,Yes,Within 5 min,41,5.0,5.0,4.6,7.0,No,No,2.7,5.6,4.5,4.2,3.1,5.2,5.1,3.6,1.1,6.2,6.4,Moderate
USR00020,21,Female,Student,Single,Facebook,4.3,4,5,No,5-30 min,99,6.7,1.9,6.1,8.4,No,Yes,5.1,1.2,6.5,4.3,6.4,6.7,,4.3,1.5,2.6,5.6,High
USR00021,19,Female,Working Professional,Single,Facebook,3.7,3,4,,After 30 min,56,1.4,3.0,4.1,0.5,No,Yes,4.4,3.6,7.3,6.1,6.1,5.2,5.8,8.4,2.4,0.0,9.3,Low
USR00022,31,Female,Student,In a Relationship,Instagram,2.9,3,3,No,After 30 min,58,5.2,5.6,4.1,5.9,Yes,Yes,4.2,2.0,6.3,3.8,6.1,4.8,2.4,6.0,2.4,4.8,6.7,Low
USR00023,22,Male,Student,Single,Instagram,8.7,2,3,Yes,Within 5 min,108,5.6,3.4,3.1,4.8,No,Yes,4.9,5.8,4.7,7.5,5.2,5.9,4.5,5.1,2.9,3.4,5.1,Severe
USR00024,27,Female,Unemployed,Single,Snapchat,5.1,4,6,Yes,After 30 min,71,4.0,4.7,6.8,6.0,Yes,No,4.3,3.5,4.9,6.3,8.9,9.1,3.9,9.5,0.8,4.3,7.5,Low
